Tipo Autorizzazione,Unità Locale,Cod. Impianto,Denominazione,Gestore,Prov.,Comune,Indirizzo,Latitudine,Longitudine,Colonna georeferenziata
Trattamento rifiuti liquidi art. 110 dlgs 152/06,"LIGNANO SABBIADORO Via Lovato, 39",F030129-0050,"Impianto di depurazione acque reflue urbane LIGNANO SABBIADORO Via Lovato, 39",CAFC S.P.A.,UD,LIGNANO SABBIADORO,"Via Lovato,39",45.684688,13.107088,POINT (13.107088 45.684688)
Autorizzazione AIA,"UDINE Via Gonars, 38",UD/AIA/34,"Impianto di depurazione acque reflue urbane e industriali in aia UDINE Via Gonars, 38 - AIA/34",CAFC S.P.A.,UD,UDINE,"Via Gonars,38",46.027057,13.235264,POINT (13.235264 46.027057)
Autorizzazione AIA,"SAN GIORGIO DI NOGARO Via Jacopo Linussio, 8, Zona Industriale Aussa Corno",UD/AIA/96,"Impianto di depurazione acque reflue urbane e industriali in aia SAN GIORGIO DI NOGARO Via Jacopo Linussio, 8, Zona Industriale Aussa Corno - AIA/96",CAFC S.P.A.,UD,SAN GIORGIO DI NOGARO,"Via Jacopo Linussio,8",45.763332,13.232067,POINT (13.232067 45.763332)
Procedura semplificata/AUA,"ROMANS D'ISONZO Via Palmanova, Versa",COM_835,"Impianto di recupero rifiuti inerti ROMANS D'ISONZO Via Palmanova, Versa",CALCESTRUZZI TRIESTE S.R.L.,GO,ROMANS D'ISONZO,Versa Via Palmanova,45.895077,13.406067,POINT (13.406067 45.895077)
Autorizzazione unica (ordinaria),TRIESTE Via Errera 5,F031015-0004_002,"Impianto di recupero inerti TRIESTE Via Errera, 5",CALCESTRUZZI TRIESTE S.R.L.,TS,TRIESTE,"Via Carlo Errera,5",45.612793,13.799805,POINT (13.799805 45.612793)
Autorizzazione unica (ordinaria),"TRIESTE Via Errera, 9",TS_TS006018,"Impianto di cernita e messa in riserva rifiuti speciali TRIESTE Via Errera, 9",CALCINA INIZIATIVE AMBIENTALI - SOCIETA' A RESPONSABILITA' LIMITATA,TS,TRIESTE,"Via Carlo Errera,9",45.612144,13.799952,POINT (13.799952 45.612144)
Procedura semplificata/AUA,SAN VITO AL TAGLIAMENTO Via Carnia 1,F030097-0017_002,Impianto di recupero SAN VITO AL TAGLIAMENTO Via Carnia 1,CA. METAL S.R.L.,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Carnia,1",45.940647,12.886372,POINT (12.886372 45.940647)
Procedura semplificata/AUA,"SEDEGLIANO Via Zappetti, Zona Industriale Pannellia",COM_924,"Impianto di recupero rifiuti vari SEDEGLIANO Via Zappetti, Zona Industriale Pannellia",CA. METAL S.R.L.,UD,SEDEGLIANO,Zona Industriale Pannellia Via Angelo Zappetti,45.991894,12.940586,POINT (12.940586 45.991894)
Autorizzazione unica (ordinaria),RONCHIS Corso Italia 106,UD_00002705,"Impianto di autodemolizione, recupero metalli, trattamento RAEE e stoccaggio pericolosi RONCHIS Corso Italia 106",CA. METAL S.R.L.,UD,RONCHIS,"Corso Italia,106",45.801509,12.995503,POINT (12.995503 45.801509)
Procedura semplificata/AUA,RONCHIS Strada dei Lustrei 3/5,COM_1040,"Impianto di recupero carta, plastica, metalli RONCHIS Strada dei Lustrei 3/5",CAMILOT RECYCLING S.R.L.,UD,RONCHIS,"Strada dei Lustrei,3",45.814522,13.020398,POINT (13.020398 45.814522)
Autorizzazione unica (ordinaria),CAMPOFORMIDO Via Adriatica 71,UD_00003308,Impianto di autodemolizione CAMPOFORMIDO Via Adriatica 71,C.A.R.A.M. COMMERCIALE AUTOMEZZI E RICAMBI AUTO METALLI DI BATTEL FRANCO,UD,CAMPOFORMIDO,"Basaldella Via Adriatica,71",46.029224,13.217019,POINT (13.217019 46.029224)
Autorizzazione unica (ordinaria),SESTO AL REGHENA Via Ippolito Nievo 84,PN_PN043000,Impianto di autodemolizione SESTO AL REGHENA Via Ippolito Nievo 84,CAR INTERNATIONAL S.R.L.,PN,SESTO AL REGHENA,"Via Ippolito Nievo,84",45.870886,12.884769,POINT (12.884769 45.870886)
Autorizzazione unica (ordinaria),TOLMEZZO Via Brasil,UD_00003204,Impianto di autodemolizione  TOLMEZZO Via Brasil,CARROZZERIA ALPINA DI BASSO EMANUELA & C. S.N.C.,UD,TOLMEZZO,Via Brasil,46.390209,13.033654,POINT (13.033654 46.390209)
Autorizzazione unica (ordinaria),ZOPPOLA Via Pontebbana 10,PN_PN051001,Impianto di autodemolizione ZOPPOLA Via Pontebbana 10,CARS SRL,PN,ZOPPOLA,"Via Pontebbana,10",45.956908,12.815312,POINT (12.815312 45.956908)
Procedura semplificata/AUA,POVOLETTO Via Giovanni Battista Maddalena 27,COM_342,"Impianto di recupero carta, plastica, metalli POVOLETTO Via Giovanni Battista Maddalena 27",CARTA DA MACERO DI MAZZETTI & CANTONI SRL,UD,POVOLETTO,"Zona Industriale di Grions del Torre Via Giovanni Battista Maddalena,27",46.092564,13.294476,POINT (13.294476 46.092564)
Autorizzazione unica (ordinaria),POVOLETTO Via Giovanni Battista Maddalena 27,UD_00002605,"Impianto di recupero carta, plastica, ingombranti POVOLETTO Via Giovanni Battista Maddalena 27",CARTA DA MACERO DI MAZZETTI & CANTONI SRL,UD,POVOLETTO,"Zona Industriale di Grions del Torre Via Giovanni Battista Maddalena,27",46.092301,13.294809,POINT (13.294809 46.092301)
Procedura semplificata/AUA,ROVEREDO IN PIANO Via IV Novembre 28,PN-COM-59,Impianto di recupero di rifiuti per la produzione di conglomerati bituminosi ROVEREDO IN PIANO Via IV Novembre 28,CAVE ASFALTI DI DELL'AGNESE S.R.L.,PN,ROVEREDO IN PIANO,"Lovera Via IV Novembre,28",46.000286,12.605733,POINT (12.605733 46.000286)
Procedura semplificata/AUA,"OSOPPO Via Volontari della Libertà F4/P8,9,10",COM_506,"Impianto di recupero inerti OSOPPO Via Volontari della Libertà, Zona Artigianale",C. & C. S.N.C. DI MARINO E GIULIO CONTESSI,UD,OSOPPO,Zona Artigianale Via Volontari della Libertà,46.267204,13.091395,POINT (13.091395 46.267204)
Autorizzazione unica (ordinaria),"GORIZIA Stradone della Mainizza, 179",GO_GO007005,Impianto di recupero metalli GORIZIA Stradone della Mainizza 179,CENTRO RECUPERO METALLI D'ADDATO S.R.L.,GO,GORIZIA,"Stradone della Mainizza,179",45.927791,13.576588,POINT (13.576588 45.927791)
Autorizzazione unica (ordinaria),MAGNANO IN RIVIERA Via Sandanieletto,UD_UD052000,Impianto di messa in riserva rifiuti metallici  MAGNANO IN RIVIERA Via Sandanieletto,CEREDA S.A.S. DI FILIPPO CEREDA & C.,UD,MAGNANO IN RIVIERA,Via San Danieletto,46.226748,13.174266,POINT (13.174266 46.226748)
Autorizzazione unica (ordinaria),TAVAGNACCO Via Enrico Fermi 108,UD_XYMOB019,Impianto mobile Gasparin Fuego mat. 06020/2007 TAVAGNACCO Via Enrico Fermi 108,CGS S.P.A.,UD,TAVAGNACCO,"Feletto Umberto Via Enrico Fermi,108",,,
Procedura semplificata/AUA,AMARO Località Somprat,COM_372,Impianto di recupero rifiuti da costruzione e demolizione AMARO Località Somprat,CGS S.P.A.,UD,AMARO,Località Somprat,46.378979,13.118598,POINT (13.118598 46.378979)
Procedura semplificata/AUA,PAVIA DI UDINE Via della Tecnologia 22/24,COM_944,Impianto di recupero rifiuti inerti PAVIA DI UDINE Via della Tecnologia 22/24,CHIARANDINI ALESSANDRO,UD,PAVIA DI UDINE,"Zona Industriale Udinese Via della Tecnologia,22-24",45.996246,13.263266,POINT (13.263266 45.996246)
Autorizzazione unica (ordinaria),REMANZACCO Via Case Passaggio a Livello 40,UD_00002765,Impianto di autodemolizione REMANZACCO Via Case Passaggio a Livello 40,CLINAZ ROMANO & C. S.N.C.,UD,REMANZACCO,"Via Case Passaggio a Livello,40",46.080293,13.338293,POINT (13.338293 46.080293)
Procedura semplificata/AUA,SAN VITO AL TAGLIAMENTO Via Gemona 36,F093036-0018_002,Impianto di recupero ceneri SAN VITO AL TAGLIAMENTO Via Gemona 36,COBETON S.R.L.,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Gemona,36",45.945978,12.887166,POINT (12.887166 45.945978)
Procedura semplificata/AUA,ROVEREDO IN PIANO Via delle Arti e Mestieri 15,PN-COM-257,Impianto di recupero ceneri ROVEREDO IN PIANO Via delle Arti e Mestieri 15,COBETON S.R.L.,PN,ROVEREDO IN PIANO,"Via delle Arti e Mestieri,15",45.985871,12.620441,POINT (12.620441 45.985871)
Procedura semplificata/AUA,MANIAGO Via Ponte Giulio 63,PN-COM-221,Impianto di recupero ceneri MANIAGO Via Ponte Giulio 63,COBETON S.R.L.,PN,MANIAGO,"Zona Industriale Campagna Via Ponte Giulio,63",46.149408,12.716378,POINT (12.716378 46.149408)
Autorizzazione unica (ordinaria),PORDENONE Via Prà 5,PN_PN033001,Impianto di autodemolizione PORDENONE Via Prà 5,COCOZZA S.R.L.,PN,PORDENONE,"Via Prà,5",45.948293,12.698039,POINT (12.698039 45.948293)
Procedura semplificata/AUA,CORDENONS Via Calipari 19,PN-COM-236,Impianto di messa in riserva di oli e grassi animali e vegetali CORDENONS Via Calipari 19,CO. GE. ECOLOGICA S.R.L.,PN,CORDENONS,"Via Nicola Calipari,19",45.963198,12.700772,POINT (12.700772 45.963198)
Procedura semplificata/AUA,PRATA DI PORDENONE Via Opitergina 103,PN-COM-83,Impianto di recupero energetico PRATA DI PORDENONE Via Opitergina 103,COMPAS S.A.S. DI TOMASELLA PAOLO & C.,PN,PRATA DI PORDENONE,"Via Opitergina,103",45.896996,12.598271,POINT (12.598271 45.896996)
Autorizzazione unica (ordinaria),ARBA Via del Mulinat,PN002002,Impianto di stoccaggio spazzamento stradale ARBA Via del Mulinat,COMUNE DI ARBA,PN,ARBA,San Rocco Via del Mulinat,46.141765,12.783526,POINT (12.783526 46.141765)
Autorizzazione unica (ordinaria),AVIANO via Ellero,PN004005,Impianto di stoccaggio spazzamento stradale AVIANO via Ellero,COMUNE DI AVIANO,PN,AVIANO,Zona Industriale Via Giuseppe Ellero,46.061278,12.604785,POINT (12.604785 46.061278)
Autorizzazione unica (ordinaria),AZZANO DECIMO Via Troiat 2,PN005002,Impianto di stoccaggio spazzamento stradale AZZANO DECIMO Via Troiat,COMUNE DI AZZANO DECIMO,PN,AZZANO DECIMO,Via Troiat,45.873842,12.71598,POINT (12.71598 45.873842)
Autorizzazione unica (ordinaria),CANEVA Località Fratta,F093009-0005_002,Impianto di stoccaggio spazzamento stradale CANEVA Località Fratta,COMUNE DI CANEVA,PN,CANEVA,"Piazza Martiri Garibaldini,8",45.95608,12.458421,POINT (12.458421 45.95608)
Autorizzazione unica (ordinaria),CASARSA DELLA DELIZIA Via Turridetta,PN010000,Impianto di stoccaggio spazzamento stradale CASARSA DELLA DELIZIA Via Turridetta,COMUNE DI CASARSA DELLA DELIZIA,PN,CASARSA DELLA DELIZIA,Via Turridetta,45.961351,12.853605,POINT (12.853605 45.961351)
Autorizzazione unica (ordinaria),CAVASSO NUOVO Località Case Sparse,PN012000,Impianto di stoccaggio spazzamento stradale CAVASSO NUOVO Località Case Sparse,COMUNE DI CAVASSO NUOVO,PN,CAVASSO NUOVO,Località Case Sparse,46.196179,12.783709,POINT (12.783709 46.196179)
Autorizzazione unica (ordinaria),CERVIGNANO DEL FRIULI Via da Riseris,UD_00008148,Impianto di messa in riserva accumulatori e olio minerale CERVIGNANO DEL FRIULI Via da Riseris,COMUNE DI CERVIGNANO DEL FRIULI,UD,CERVIGNANO DEL FRIULI,presso magazzino comunale Via da Riseris,45.814809,13.324669,POINT (13.324669 45.814809)
Autorizzazione unica (ordinaria),FANNA Via Circonvallazione Nuova,PN_PN020000,Impianto di stoccaggio spazzamento stradale FANNA Via Circonvallazione Nuova,COMUNE DI FANNA,PN,FANNA,Via Circonvallazione Nuova,46.181471,12.755037,POINT (12.755037 46.181471)
Autorizzazione unica (ordinaria),"FIUME VENETO Via Mazzini, Cimpello",PN_PN021001,"Impianto di stoccaggio spazzamento stradale FIUME VENETO Via Mazzini, Cimpello",COMUNE DI FIUME VENETO,PN,FIUME VENETO,Cimpello Via Mazzini,45.917775,12.705243,POINT (12.705243 45.917775)
